species;plant_functional_type;mean_tau;mean_gamma
Abies pinsapo;evergreen gymnosperms;1,3851769417247612;1,2876318097769213
Cupressus sempervirens;evergreen gymnosperms;0,8904003016551738;1,4416950809454956
Quercus ilex;evergreen angiosperms;0,6992708387185006;1,3255200573348813
Oryza sativa;C3 annual herbaceous;0,6245583288617719;0,9104834257799229
Quercus coccifera;evergreen angiosperms;0,5902732124111794;1,2835021655462848
Quercus suber;evergreen angiosperms;0,5537984328860011;0,7917099700181812
Gossypium hirsutum;C3 perennial herbaceous;0,548295431836554;0,6997911177326201
Arabidopsis thaliana;C3 annual herbaceous;0,5198832706409048;0,6957508934359181
Quercus wislizeni;evergreen angiosperms;0,5170907642707839;1,0923785390130898
