species;plant_functional_type;tau;gamma;hypostomatous
Abies pinsapo;evergreen gymnosperms;1,6541033515171124;1,6069552847378732;yes
Abies pinsapo;evergreen gymnosperms;1,639703186937551;1,602611833885121;yes
Abies pinsapo;evergreen gymnosperms;1,119772022833151;0,97191021132484;yes
Abies pinsapo;evergreen gymnosperms;1,1271292056112308;0,9690499091598512;yes
Arabidopsis thaliana;C3 annual herbaceous;0,5198832706409048;0,6957508934359181;no
Cupressus sempervirens;evergreen gymnosperms;0,8865041626579522;1,4268416881849668;yes
Cupressus sempervirens;evergreen gymnosperms;0,8942964406523954;1,4565484737060244;yes
Gossypium hirsutum;C3 perennial herbaceous;0,5610169806798779;0,6762027155552119;no
Gossypium hirsutum;C3 perennial herbaceous;0,5587493779924254;0,6658455868361521;no
Gossypium hirsutum;C3 perennial herbaceous;0,5356036216805282;0,7360270656445012;no
Gossypium hirsutum;C3 perennial herbaceous;0,5378117469933845;0,7210891028946153;no
Oryza sativa;C3 annual herbaceous;0,6998533926689695;1,07622293483695;no
Oryza sativa;C3 annual herbaceous;0,6362875484240949;0,910798305439732;no
Oryza sativa;C3 annual herbaceous;0,5375340454922511;0,7444290370630868;no
Quercus coccifera;evergreen angiosperms;0,5902732124111794;1,2835021655462848;yes
Quercus ilex;evergreen angiosperms;0,5009298211602828;0,9062943600598375;yes
Quercus ilex;evergreen angiosperms;0,6245973912100445;0,7460076044925253;yes
Quercus ilex;evergreen angiosperms;0,8336083324402878;1,631902810185493;yes
Quercus ilex;evergreen angiosperms;0,8379478100633874;2,0178754546016693;yes
Quercus suber;evergreen angiosperms;0,5537984328860011;0,7917099700181812;yes
Quercus wislizeni;evergreen angiosperms;0,5170907642707839;1,0923785390130898;yes
